0-15(%),% Couple household with dependent children,Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above
14.11609499,10.06993007,83.82180539,4.761904762,49.8
9.672466735,7.347876005,92.16931217,7.869142352,49.4
14.28571429,10.52009456,93.06930693,4.607329843,51.4
18.85482938,12.88888889,98.54014599,10.13333333,26.7
17.89409617,11.01694915,98.74476987,9.077380952,25.1
27.89855072,17.60124611,98.61751152,13.41853035,18.3
21.44200627,15.67732116,98.79699248,10.37891269,22.5
22.51958225,14.63815789,94.55676516,10.88235294,32.9
14.32332807,11.09445277,97.65739385,11.78247734,20.2
14.71718836,8.83797054,94.8757764,6.815203145,32.1
19.044703,14.34370771,98.2712766,8.4643289,30.6
23.13067785,17.81818182,98.56630824,13.37907376,22.3
20.80624187,15.09121061,98.20846906,13.49072513,27.8
17.07449701,11.00746269,96.22980251,10.20979021,42.3
20.66210046,5.834464043,95.83875163,10.50884956,39.1
22.56745707,15.91928251,98.89135255,13.68421053,23.8
16.90265487,11.98501873,93.19371728,12.20556745,46
15.20539546,6.30952381,97.22222222,13.36971351,37.5
9.507978723,5.976095618,89.32384342,7.333333333,47.8
18.69918699,12.02872531,99.11032028,12.11573237,28.1
4.973945997,4.956268222,90.14454665,4.287515763,34.7
9.203036053,5.872483221,86.75400291,7.581227437,56.7
4.840613932,6.024096386,89.8511502,3.134479272,57.8
5.707091901,4.181184669,89.03826267,3.932082216,38.8
2.709514808,3.52,78.6163522,4.181184669,39.8
11.83851609,6.128133705,94.59815547,6.533333333,40.8
19.18795023,12.28346457,97.39263804,10.25974026,37.5
13.1403118,7.832009081,93.32627119,5.667627281,52.4
21.08050847,11.82913472,97.02444208,14.00462963,33.4
12.5385406,9.513742072,94.03578529,5.731394354,53.3
2.891156463,2.340234023,85.52732871,4.491525424,64.5
7.718501703,4.742268041,87.7034358,5.024630542,57.5
9.76076555,7.486631016,91.66666667,7.55048288,46.3
8.142999007,4.076738609,90.35752979,4.722222222,40.8
7.849829352,7.648401826,86.56126482,3.526970954,77.6
9.95821727,10.36144578,85.04098361,1.727861771,79.2
7.726597325,6.242350061,92.10822999,4.744525547,56.8
16.64974619,13.0620985,88.4469697,8.679245283,34.5
6.22605364,2.958579882,63.3552015,2.728351127,73.6
