0-15(%),65+(%),% Couple household with dependent children,White (%),Private rented (%),Household spaces with at least one usual resident (%),Unemployment Rate,% Highest level of qualification: Level 4 qualifications and above,Median Annual Household Income estimate (?),fire,Population density
5.67867036,6.994459834,5.294825511,81.37119114,53.4,96.4037123,3.421052632,72.2,48915.15888,4,209.2753623
16.30581867,9.878213802,18.95223421,80.92016238,37.4,97.15568862,4.021164021,64.5,55957.81574,3,184.0597758
16.57541065,9.308113489,10.85353003,56.94375311,35.6,97.53340185,8.211678832,48.3,30164.38294,5,143.5
12.25464191,6.684350133,8.389261745,63.23607427,46.6,94.6031746,7.056936648,56.8,33620.07205,12,80.04246285
12.9501385,13.91966759,13.39779006,80.95567867,36.6,93.90402075,3.945885006,69.8,62118.33797,7,137.2623574
16.30925508,9.650112867,16.7816092,75.50790068,49.1,95.18599562,3.111111111,70.9,61185.7059,3,155.5750658
14.10579345,12.21662469,13.29192547,78.77833753,38.8,93.93232205,3.904761905,67.4,60260.61324,2,157.2277228
12.55576801,12.81070746,9.976798144,76.03569152,47.2,94.82948295,3.235294118,68.7,50927.62838,6,201.9305019
17.82343143,11.16046641,12.68163804,72.18212104,24,98.31168831,8.83248731,42.4,31181.83818,5,181.1871227
24.05237767,9.993108201,14.23728814,53.13576844,17.3,97.35973597,10.63492063,35.8,24571.18306,6,172.5326992
17.97169811,10.23584906,10.89324619,66.27358491,24,97.34888653,8.779631255,40.8,29189.8859,13,181.9742489
25.04892368,12.6223092,13.66995074,52.1037182,13.4,98.42424242,11.94029851,27.1,21023.96595,5,237.6744186
9.921671018,14.22976501,9.137055838,77.48041775,35.7,94.25837321,3.943377149,67.2,48841.33337,6,111.3372093
12.15235792,8.645707376,7.032181168,67.53325272,52.2,95.99542334,5.730659026,56.1,33218.80398,9,141.3675214
18.36384439,9.553775744,10,58.35240275,29.1,98.88751545,9.66029724,44.4,28093.19521,7,149.6575342
16.80628272,9.842931937,11.22565865,58.95287958,37,97.76035834,10.86105675,37.4,25729.2995,4,129.8436438
9.140369967,8.10663765,6.335797254,69.74972797,37.7,97.62886598,4.212168487,61,37270.06711,3,278.0635401
12.65377856,8.904510838,7.795371498,61.04276508,37.3,98.67788462,7.647628267,45.8,29982.03603,9,148.6933798
